x,y,v_x,v_y
5.25058115803e+12,10453183250.9,-55.3134860163,909.631843088
5.25057636098e+12,10531775406.3,-55.729409165,909.631011929
5.25057152799e+12,10610367489.6,-56.1453330391,909.630174542
5.25056665907e+12,10688959500.3,-56.5612576439,909.629330928
5.2505617542e+12,10767551437.8,-56.977182985,909.628481085
5.25055681341e+12,10846143301.6,-57.3931090677,909.627625014
5.25055183668e+12,10924735091.2,-57.8090358974,909.626762716
5.25054682401e+12,11003326806.1,-58.2249634796,909.625894189
5.2505417754e+12,11081918445.6,-58.6408918196,909.625019434
5.25053669086e+12,11160510009.2,-59.0568209229,909.624138451
5.25053157038e+12,11239101496.5,-59.4727507949,909.623251239
5.25052641397e+12,11317692906.9,-59.8886814411,909.622357799
5.25052122162e+12,11396284239.8,-60.3046128668,909.621458131
5.25051599333e+12,11474875494.7,-60.7205450774,909.620552235
5.25051072911e+12,11553466671.0,-61.1364780784,909.61964011
5.25050542895e+12,11632057768.3,-61.5524118751,909.618721757
5.25050009285e+12,11710648785.9,-61.9683464731,909.617797175
5.25049472082e+12,11789239723.5,-62.3842818777,909.616866365
5.25048931285e+12,11867830580.3,-62.8002180943,909.615929325
5.25048386894e+12,11946421355.9,-63.2161551284,909.614986058
5.2504783891e+12,12025012049.7,-63.6320929853,909.614036561
5.25047287331e+12,12103602661.2,-64.0480316705,909.613080836
5.2504673216e+12,12182193189.9,-64.4639711894,909.612118882
5.25046173394e+12,12260783635.2,-64.8799115474,909.611150699
5.25045611035e+12,12339373996.5,-65.2958527499,909.610176287
5.25045045082e+12,12417964273.4,-65.7117948024,909.609195646
5.25044475535e+12,12496554465.4,-66.1277377103,909.608208776
5.25043902394e+12,12575144571.7,-66.5436814789,909.607215677
5.2504332566e+12,12653734592.1,-66.9596261138,909.606216349
5.25042745332e+12,12732324525.8,-67.3755716202,909.605210792
5.2504216141e+12,12810914372.3,-67.7915180037,909.604199005
5.25041573895e+12,12889504131.2,-68.2074652696,909.603180989
5.25040982785e+12,12968093801.8,-68.6234134234,909.602156744
5.25040388082e+12,13046683383.7,-69.0393624705,909.60112627
5.25039789785e+12,13125272876.2,-69.4553124163,909.600089566
5.25039187894e+12,13203862279.0,-69.8712632662,909.599046632
5.2503858241e+12,13282451591.3,-70.2872150256,909.597997469
5.25037973331e+12,13361040812.7,-70.7031677,909.596942076
5.25037360659e+12,13439629942.7,-71.1191212948,909.595880454
5.25036744393e+12,13518218980.7,-71.5350758154,909.594812602
5.25036124533e+12,13596807926.2,-71.9510312671,909.59373852
5.25035501079e+12,13675396778.5,-72.3669876555,909.592658208
5.25034874031e+12,13753985537.3,-72.7829449859,909.591571666
5.2503424339e+12,13832574202.0,-73.1989032638,909.590478894
5.25033609154e+12,13911162771.9,-73.6148624946,909.589379893
5.25032971325e+12,13989751246.6,-74.0308226837,909.588274661
5.25032329902e+12,14068339625.6,-74.4467838365,909.587163199
5.25031684884e+12,14146927908.2,-74.8627459584,909.586045507
5.25031036273e+12,14225516094.1,-75.2787090549,909.584921585
5.25030384068e+12,14304104182.5,-75.6946731313,909.583791432
5.25029728269e+12,14382692173.0,-76.1106381931,909.582655049
5.25029068876e+12,14461280065.1,-76.5266042458,909.581512435
5.2502840589e+12,14539867858.2,-76.9425712946,909.580363591
5.25027739309e+12,14618455551.8,-77.3585393451,909.579208517
5.25027069134e+12,14697043145.3,-77.7745084027,909.578047212
5.25026395365e+12,14775630638.2,-78.1904784727,909.576879676
5.25025718003e+12,14854218029.9,-78.6064495607,909.575705909
5.25025037046e+12,14932805320.0,-79.022421672,909.574525912
5.25024352495e+12,15011392507.8,-79.438394812,909.573339684
5.2502366435e+12,15089979592.9,-79.8543689862,909.572147225
5.25022972612e+12,15168566574.7,-80.2703441999,909.570948535
5.25022277279e+12,15247153452.6,-80.6863204586,909.569743613
